w,y,tariff.plan,payment.method,gender,age,activ.area,activ.chan,vas1,vas2,q01.out.ch.peak,q01.out.dur.peak,q01.out.val.peak,q01.out.ch.offpeak,q01.out.dur.offpeak,q01.out.val.offpeak,q01.in.ch.tot,q01.in.dur.tot,q01.ch.sms,q01.ch.cc,q02.out.ch.peak,q02.out.dur.peak,q02.out.val.peak,q02.out.ch.offpeak,q02.out.dur.offpeak,q02.out.val.offpeak,q02.in.ch.tot,q02.in.dur.tot,q02.ch.sms,q02.ch.cc,q03.out.ch.peak,q03.out.dur.peak,q03.out.val.peak,q03.out.ch.offpeak,q03.out.dur.offpeak,q03.out.val.offpeak,q03.in.ch.tot,q03.in.dur.tot,q03.ch.sms,q03.ch.cc,q04.out.ch.peak,q04.out.dur.peak,q04.out.val.peak,q04.out.ch.offpeak,q04.out.dur.offpeak,q04.out.val.offpeak,q04.in.ch.tot,q04.in.dur.tot,q04.ch.sms,q04.ch.cc,q05.out.ch.peak,q05.out.dur.peak,q05.out.val.peak,q05.out.ch.offpeak,q05.out.dur.offpeak,q05.out.val.offpeak,q05.in.ch.tot,q05.in.dur.tot,q05.ch.sms,q05.ch.cc,q06.out.ch.peak,q06.out.dur.peak,q06.out.val.peak,q06.out.ch.offpeak,q06.out.dur.offpeak,q06.out.val.offpeak,q06.in.ch.tot,q06.in.dur.tot,q06.ch.sms,q06.ch.cc,q07.out.ch.peak,q07.out.dur.peak,q07.out.val.peak,q07.out.ch.offpeak,q07.out.dur.offpeak,q07.out.val.offpeak,q07.in.ch.tot,q07.in.dur.tot,q07.ch.sms,q07.ch.cc,q08.out.ch.peak,q08.out.dur.peak,q08.out.val.peak,q08.out.ch.offpeak,q08.out.dur.offpeak,q08.out.val.offpeak,q08.in.ch.tot,q08.in.dur.tot,q08.ch.sms,q08.ch.cc,q09.out.ch.peak,q09.out.dur.peak,q09.out.val.peak,q09.out.ch.offpeak,q09.out.dur.offpeak,q09.out.val.offpeak,q09.in.ch.tot,q09.in.dur.tot,q09.ch.sms,q09.ch.cc
1,4.69134788222914,8,credit card,B,29.6,3,5,Y,N,27,1988,12.3573,15,493,2.8028,91,7701,0,0,36,2688,16.7967,10,276,1.7348,98,7463,0,1,50,2735,19.0759,0,0,0,104,6225,0,0,46,1993,14.9623,0,0,0,71,4464,0,0,21,995,7.2671,0,0,0,73,4507,0,0,59,3650,24.7935,0,0,0,82,6404,0,0,18,680,5.3438,0,0,0,45,2032,0,0,39,4191,25.5011,0,0,0,68,5616,0,0,30,1532,10.9484,0,0,0,57,3387,0,0
1,5.6970934865054,8,credit card,F,17.93,1,9,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1828,12.5675,0,0,0,26,3152,5,1
1,6.65801104587075,6,bank account,M,29.96,4,3,N,N,128,18270,74.9973,0,0,0,205,29921,0,0,165,16235,72.2151,0,0,0,156,16049,3,0,114,10496,47.4464,0,0,0,159,17520,3,0,82,5190,26.1074,0,0,0,126,16190,0,0,112,10208,46.2596,0,0,0,205,19582,0,0,126,10455,48.5454,0,0,0,175,20066,1,1,121,9681,45.396,0,0,0,158,14655,0,0,53,5501,24.1686,0,0,0,65,4898,0,0,85,6928,32.3235,0,0,0,131,17999,0,0
1,7.41577697541539,7,bank account,M,33.63,4,3,N,N,157,16405,71.9662,0,0,0,179,10185,13,1,229,21330,96.1436,0,0,0,183,13522,4,1,238,24692,108.4931,0,0,0,102,23294,6,0,307,24873,116.2359,0,0,0,178,15991,17,3,265,23517,107.2898,0,0,0,187,13025,11,0,204,20458,90.5943,0,0,0,141,8662,21,0,222,21229,94.8706,0,0,0,189,8963,14,0,137,9517,46.2833,0,0,0,136,8207,12,0,450,52531,224.6861,0,0,0,205,25733,34,1
1,6.52649485957079,7,post account,F,31.01,1,7,Y,N,72,18709,87.1573,17,3840,11.5139,28,2489,0,0,80,13372,65.1402,8,1133,3.7045,38,6330,0,1,121,18183,89.9802,12,1989,6.2935,71,7626,0,0,85,17668,84.0668,6,413,1.6692,77,12620,7,1,38,5156,25.8962,4,1207,3.4804,62,8705,0,0,0,0,0,0,0,0,82,19008,0,0,90,10302,53.1982,10,601,2.5606,59,10804,5,1,19,2244,10.2238,15,1377,4.6233,7,338,0,6,113,19254,74.66,35,2875,13.0834,63,14011,1,1
1,8.83229585944401,3,bank account,B,40.81,4,7,N,N,63,4390,27.8639,6,201,1.1305,14,420,0,0,82,8367,49.0743,16,1371,5.1362,24,856,0,0,109,9324,56.6202,22,2717,9.0726,17,566,0,0,72,6851,40.7676,25,2299,8.4239,21,868,0,0,59,3766,25.0234,12,1111,3.7448,8,210,0,0,67,3770,25.2604,6,434,1.7224,20,886,0,0,60,3700,24.1981,7,437,1.8334,15,196,0,0,74,4110,27.6361,8,399,1.8401,25,918,0,0,76,5564,34.8169,5,712,2.3251,12,382,0,0
1,6.65929391968364,7,credit card,M,17.77,1,5,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,22384,94.1439,0,0,0,74,7107,0,1
1,6.66185474054531,8,bank account,B,20.49,3,5,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,20819,102.4883,0,0,0,54,5311,0,0,197,28956,139.7791,0,0,0,100,9841,0,0,154,37480,176.7708,0,0,0,44,12977,0,0,196,35306,163.3021,0,0,0,56,11583,0,0
1,6.61338421837956,8,credit card,M,22.98,1,5,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,59,0,0,118,9259,59.4199,0,0,0,88,7296,0,0,84,7436,46.6727,0,0,0,72,5835,0,0,80,10755,63.3651,0,0,0,89,10159,0,0,105,9475,59.39,0,0,0,87,8496,0,0,61,5302,33.4654,0,0,0,47,3467,0,0,186,19513,119.079,0,0,0,121,15332,0,1
1,8.98569569453571,3,bank account,B,39.57,1,5,N,N,135,5286,39.6623,34,1186,6.5254,232,8343,0,0,179,10172,67.9766,27,1138,5.6795,291,18047,0,0,167,11385,72.6397,27,1422,6.402,306,16709,0,0,179,8040,57.602,29,1113,5.8231,258,14054,0,0,250,14985,98.7249,45,2340,10.5956,443,22007,0,0,308,16280,110.9979,55,7097,23.7245,451,24423,0,0,299,16934,113.166,56,2536,12.2292,437,21877,0,0,144,7677,52.2241,30,1305,6.4144,247,11375,0,0,54,2943,19.7937,16,1072,4.377,103,5624,0,0
1,6.62539236800796,8,credit card,M,23.5,3,7,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,5708,35.4403,0,0,0,53,3379,26,2,66,5644,35.7331,0,0,0,45,3912,26,0,56,8102,47.1892,0,0,0,63,3837,9,1,82,8723,52.9559,0,0,0,71,4531,13,1,52,5346,32.7614,0,0,0,75,6449,5,1,22,1433,9.6144,0,0,0,36,1618,1,0,44,2717,18.4654,0,0,0,42,3658,0,0
1,6.04973345523196,7,credit card,B,21.44,1,9,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0.1885,0,0,0,1,73,0,0,215,32906,87.4816,0,0,0,13,292,0,0,253,36026,101.24,0,0,0,50,2944,0,0,146,24114,60.7436,0,0,0,9,356,0,0,256,39430,118.9483,0,0,0,41,2085,0,0
1,7.49387388678356,6,post account,M,34.19,4,5,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,15384,77.4809,0,0,0,116,7104,0,0,174,15439,70.4375,0,0,0,180,8149,0,0,207,19424,87.0844,0,0,0,116,8407,0,0,143,15531,67.4441,0,0,0,102,12166,0,0
1,3.98898404656427,8,bank account,B,21.67,1,7,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,7789,43.2817,0,0,0,30,3859,0,3,110,9628,46.2849,0,0,0,34,3172,0,1,62,6517,33.7572,0,0,0,65,7178,0,1,23,2664,11.4643,0,0,0,20,1865,0,2,112,12642,71.8769,0,0,0,110,9834,0,0
1,4.17438726989564,6,post account,B,28.75,2,5,N,N,68,6707,29.8151,0,0,0,67,5077,0,0,99,10331,45.3367,0,0,0,92,10005,0,0,101,9560,42.9243,0,0,0,112,7240,0,0,86,6127,29.6012,0,0,0,92,5313,0,0,58,4632,21.7294,0,0,0,122,8255,0,0,123,11636,52.2489,0,0,0,90,5252,0,0,86,8788,38.6444,0,0,0,96,5368,0,0,83,9522,40.9302,0,0,0,70,4377,0,0,61,5143,23.7782,0,0,0,63,3405,0,0
1,5.71702770140622,8,bank account,B,35.77,1,5,Y,N,12,346,2.9226,5,744,2.4067,74,9537,0,1,15,327,3.1401,4,835,2.5353,85,13255,0,0,25,930,7.1194,3,666,2.0018,111,11595,0,0,21,1776,11.2675,0,0,0,75,9939,0,0,61,4090,27.2545,0,0,0,141,18127,0,0,35,1769,12.678,0,0,0,99,11219,0,0,34,2397,15.7912,0,0,0,111,12216,0,0,30,2107,13.8932,0,0,0,68,7590,0,0,59,4820,30.7906,0,0,0,118,11635,0,0
1,7.35115822643069,8,bank account,B,41.57,1,5,Y,N,43,2953,18.8073,1,9,0.126,61,3424,0,0,124,13370,79.6666,14,1260,4.6481,110,4972,0,0,134,13770,84.122,0,0,0,111,5511,0,0,108,8623,53.7745,0,0,0,110,3636,0,0,83,7155,44.2227,0,0,0,101,4474,0,0,128,11188,68.0086,0,0,0,103,4334,0,1,120,9170,59.2247,0,0,0,69,4717,0,1,81,5992,36.8745,0,0,0,74,4416,0,1,117,9767,60.4296,0,0,0,78,4325,0,0
1,4.04305126783455,8,credit card,M,17.93,3,9,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1057,7.171,0,0,0,16,569,0,0
1,1.6094379124341,8,credit card,M,22.32,3,9,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0.2773,0,0,0,9,174,0,0,1,16,0.1854,0,0,0,21,2778,0,0,15,433,3.7681,0,0,0,26,2483,0,0,9,382,2.8865,0,0,0,7,1341,0,0,11,584,4.128,0,0,0,3,213,0,0,12,444,3.5145,0,0,0,24,2377,0,0
1,4.02535169073515,7,credit card,F,20.98,3,5,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,3463,15.4209,0,0,0,36,3569,0,0,80,6494,27.303,0,0,0,61,6401,0,0,65,7773,31.9718,0,0,0,50,6395,0,0
1,8.06589354696427,3,post account,B,38.42,3,5,N,N,33,4998,27.6211,1,17,0.1467,5,990,0,0,33,5627,30.7844,2,132,0.5423,15,2409,0,0,31,2753,16.5948,1,42,0.2102,32,1898,0,0,35,3953,22.8455,7,601,2.2502,38,1517,0,0,62,4913,30.3057,19,1625,6.0921,36,3031,0,0,126,19698,106.7103,35,6849,22.1369,120,19606,0,0,25,2106,12.8272,3,120,0.6151,36,933,0,0,68,7804,44.9911,16,2885,8.9833,21,2887,0,2,46,4396,26.1389,4,579,1.884,34,6141,0,0
1,7.42117752859539,8,credit card,B,19.5,3,5,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,10461,21.4774,0,0,0,5,503,0,0,51,8925,21.1272,0,0,0,3,253,1,0,33,14933,33.6441,0,0,0,2,90,0,0
1,6.0913098820777,7,post account,B,18.65,3,5,N,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,10697,44.3063,0,0,0,18,3236,0,1,56,6646,28.3679,0,0,0,19,2402,0,0
1,11.0373060969389,7,post account,B,39.21,3,5,N,Y,251,26051,138.9274,58,8007,26.3362,145,14555,0,0,197,21080,134.1874,17,1915,6.621,103,9432,0,0,297,38494,203.3157,34,6120,19.3124,160,12705,0,0,369,49214,282.2819,69,9020,29.9566,244,17636,9,5,419,52099,332.9515,113,12770,44.2913,268,24089,2,5,585,67061,366.609,71,6116,22.7696,301,28848,0,5,485,63807,468.2673,88,13992,80.904,317,23339,0,3,377,48867,283.9831,67,8443,27.8029,276,28009,0,1,531,62614,329.6302,87,12260,39.0891,323,30712,10,0
1,6.02344759296103,6,bank account,B,28.98,1,5,N,N,91,7395,34.5308,0,0,0,164,15400,57,2,71,6209,28.3318,0,0,0,189,18350,190,0,63,8207,34.396,0,0,0,108,9201,26,1,44,5535,21.4345,0,0,0,109,6465,18,0,79,14958,58.9907,0,0,0,137,11163,13,2,45,2134,11.6921,0,0,0,49,4697,41,0,52,4598,20.9955,0,0,0,78,9139,71,0,60,6870,29.5434,0,0,0,71,11596,24,0,75,13144,52.4137,0,0,0,75,11442,53,0
1,7.30586003268401,3,bank account,M,49.08,3,5,N,N,10,808,3.4763,6,380,0.8527,68,3780,0,0,22,2717,9.9041,5,961,2.0989,74,5636,0,0,8,626,2.3612,19,1902,4.7881,48,4402,0,0,20,2327,9.5761,6,388,0.9839,42,3196,0,0,21,948,5.0504,4,169,0.4591,102,5760,0,0,31,2093,12.2653,16,1124,2.886,133,5863,0,0,9,254,1.8045,0,0,0,72,3614,0,0,9,1102,5.7719,12,1564,3.2795,19,2137,0,0,9,510,2.3612,0,0,0,35,2307,0,0
1,4.99721227376411,6,credit card,B,34.45,1,5,N,N,150,16535,76.4501,0,0,0,171,19044,5,0,135,16183,68.9377,0,0,0,165,17478,3,0,165,12338,58.9701,0,0,0,195,18330,1,0,174,21385,90.6454,0,0,0,184,20167,1,0,154,12752,59.2438,0,0,0,195,19688,0,1,115,10735,48.3584,0,0,0,158,14908,1,0,180,20748,89.1028,0,0,0,229,20199,6,0,111,20045,79.585,0,0,0,100,14239,3,0,143,20890,85.7587,0,0,0,251,26065,2,0
1,5.48479693349065,7,credit card,B,18.78,1,5,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1690,7.8099,0,0,0,18,985,3,0,28,4708,18.8904,0,0,0,18,793,7,0
1,5.03695260241363,7,credit card,F,28.75,3,5,N,N,2,201,1.851,0,0,0,5,372,0,0,12,2408,12.9951,2,67,0.377,37,3537,0,0,51,5121,30.2463,9,426,2.8844,140,14137,0,0,7,1020,5.6857,4,237,1.1625,55,3547,0,0,29,2866,16.945,8,278,2.1035,50,1645,0,0,27,2669,15.9415,8,297,1.6253,44,3664,0,0,34,2443,15.5231,1,13,0.1363,48,3225,0,0,23,4289,23.5442,2,347,1.0882,28,5116,0,0,71,6732,38.7807,5,2811,14.8177,73,15313,0,0
1,6.16961073249146,6,post account,B,29.4,4,5,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1162,7.1498,0,0,0,47,1257,0,0,57,2912,15.7845,0,0,0,52,2119,0,0,153,12411,57.8793,0,0,0,99,6665,0,0
1,6.91373735065968,3,bank account,B,34.98,1,5,N,N,5,168,1.3335,1,74,0.2913,20,1208,0,0,14,529,4.0196,2,78,0.4049,13,817,0,0,5,232,1.6459,1,24,0.1642,16,1131,0,0,8,580,3.6477,1,38,0.1999,19,1748,0,0,7,279,2.0808,0,0,0,18,1279,0,0,8,460,3.0647,2,32,0.2882,18,964,0,0,4,128,1.036,1,36,0.1947,11,889,0,0,8,433,2.933,1,1,0.1059,20,870,0,0,25,1589,10.3121,1,16,0.1441,28,2637,0,0
1,4.98360662170834,6,post account,B,34.65,2,5,N,N,98,9870,43.6638,0,0,0,35,2414,0,0,105,10944,48.0393,0,0,0,35,2677,0,0,138,16255,69.4939,0,0,0,56,6242,0,0,67,7287,31.6836,0,0,0,37,2426,0,0,113,9715,44.5826,0,0,0,50,3102,0,0,131,10517,49.0639,0,0,0,49,3227,0,0,115,10080,46.1341,0,0,0,55,5739,0,0,60,5346,24.3659,0,0,0,22,1266,0,1,140,16026,68.8179,0,0,0,28,3740,0,0
1,8.32385113133882,3,post account,B,50.03,1,7,N,N,4,419,1.6398,31,2602,5.6407,44,914,0,0,9,505,2.0333,46,2508,6.2311,47,1591,0,0,5,543,2.0989,48,2340,5.9687,39,1028,0,0,8,613,3.3451,39,2340,5.6407,56,1967,0,0,11,769,4.5257,59,3740,8.9858,63,1869,0,0,19,1188,4.9848,41,3093,6.887,57,1858,0,0,13,579,2.7548,49,3608,9.0514,58,1203,0,0,19,1030,4.5257,33,2552,6.0343,50,1817,0,0,3,213,0.9839,34,2487,5.9031,25,1436,0,0
